period,active_borrowers,avg_loan_usd,gross_portfolio_end_usd,portfolio_yield_annual_pct,par30_pct,write_off_pct,opex_usd,loan_loss_provision_pct,notes
Y1-M01,80,320,25600,30,6.2,3.3,35000,3.0,launch cohort
Y1-M02,130,325,42250,30,6.1,3.3,36000,3.0,controlled onboarding
Y1-M03,190,330,62700,30,6.0,3.2,37000,3.0,weekly monitoring begins
Y1-M04,260,335,87100,30,5.9,3.2,38000,2.9,repeat cycle starts
Y1-M05,330,340,112200,30,5.8,3.1,39000,2.9,agent coverage expands
Y1-M06,410,345,141450,30,5.7,3.1,40000,2.9,Q2 close
Y1-M07,500,350,175000,31,5.6,3.0,41000,2.8,collection discipline stabilizes
Y1-M08,590,355,209450,31,5.5,3.0,42000,2.8,retention improves
Y1-M09,680,360,244800,31,5.4,2.9,43000,2.8,USSD usage up
Y1-M10,790,365,288350,31,5.3,2.9,44000,2.8,productivity gains
Y1-M11,900,370,333000,31,5.2,2.8,45500,2.7,cohort quality up
Y1-M12,1000,380,380000,31,5.0,2.8,47000,2.7,year-1 target range reached
Y2-Q1,1400,390,546000,32,5.0,2.7,150000,2.6,regional densification
Y2-Q2,1900,400,760000,32,4.9,2.6,158000,2.6,repeat borrowers grow
Y2-Q3,2600,410,1066000,32,4.8,2.5,168000,2.5,risk score calibration
Y2-Q4,3500,430,1505000,32,4.7,2.4,178000,2.5,year-2 base case
Y3-Q1,4500,450,2025000,33,4.6,2.3,210000,2.4,multi-zone scale
Y3-Q2,5600,470,2632000,33,4.5,2.2,224000,2.3,unit costs fall
Y3-Q3,6800,490,3332000,33,4.5,2.1,240000,2.3,portfolio maturity improves
Y3-Q4,8000,520,4160000,33,4.4,2.0,258000,2.2,operational self-sufficiency path
